Team,PredictedGold2028,PredictedTotal2028,Gold_lower95,Gold_upper95,Total_lower95,Total_upper95,ActualGold2024,ActualTotal2024,DeltaGold,DeltaTotal
USA,41.231292013541996,105.96107626262628,34.231292013541996,48.231292013541996,90.96107626262628,120.96107626262628,40.0,126.0,1.2312920135419958,-20.03892373737372
FRA,31.711154473304475,75.67337698412697,24.711154473304475,38.711154473304475,60.673376984126975,90.67337698412697,16.0,64.0,15.711154473304475,11.673376984126975
AUS,28.048114602064583,70.21808716896126,21.048114602064583,35.04811460206459,55.21808716896126,85.21808716896126,18.0,53.0,10.048114602064583,17.21808716896126
CHN,27.04445696525698,44.641877267962144,20.04445696525698,34.044456965256984,29.641877267962144,59.641877267962144,40.0,91.0,-12.95554303474302,-46.358122732037856
GER,26.215445967190714,53.93078375018524,19.215445967190714,33.21544596719072,38.93078375018524,68.93078375018524,12.0,33.0,14.215445967190714,20.930783750185242
GBR,26.132569697243113,55.898409921381685,19.132569697243113,33.13256969724311,40.898409921381685,70.89840992138168,14.0,65.0,12.132569697243113,-9.101590078618315
ITA,25.927210968855725,43.55355250416385,18.927210968855725,32.927210968855725,28.553552504163846,58.55355250416385,12.0,40.0,13.927210968855725,3.5535525041638465
JPN,14.247933466951466,53.63046696639572,7.247933466951466,21.247933466951466,38.63046696639572,68.63046696639572,20.0,45.0,-5.752066533048534,8.630466966395723
NED,10.688975905876271,33.90247243947592,3.688975905876271,17.68897590587627,18.902472439475922,48.90247243947592,15.0,34.0,-4.311024094123729,-0.09752756052407818
ESP,9.769456302597137,40.98823586603309,2.7694563025971366,16.769456302597135,25.988235866033087,55.98823586603309,5.0,18.0,4.769456302597137,22.988235866033087
CAN,9.089137309689896,30.730687140111367,2.089137309689896,16.089137309689896,15.730687140111367,45.73068714011137,9.0,27.0,0.08913730968989597,3.7306871401113675
BRA,7.534394042424337,27.049495506833903,0.5343940424243367,14.534394042424337,12.049495506833903,42.04949550683391,3.0,20.0,4.534394042424337,7.049495506833903
POL,6.729729310011205,17.63284323476637,-0.270270689988795,13.729729310011205,2.6328432347663693,32.63284323476637,1.0,10.0,5.729729310011205,7.632843234766369
HUN,5.713514929394376,15.284059916226783,-1.2864850706056243,12.713514929394375,0.2840599162267825,30.28405991622678,6.0,19.0,-0.28648507060562434,-3.7159400837732175
BEL,5.051846171298294,17.752768038232908,-1.948153828701706,12.051846171298294,2.752768038232908,32.75276803823291,3.0,10.0,2.051846171298294,7.752768038232908
SUI,4.603525023515823,16.390006258153523,-2.3964749764841766,11.603525023515823,1.390006258153523,31.390006258153523,1.0,8.0,3.6035250235158234,8.390006258153523
NOR,4.529359924047765,11.944676642713949,-2.470640075952235,11.529359924047764,-3.055323357286051,26.94467664271395,4.0,8.0,0.5293599240477649,3.944676642713949
NZL,4.429778609665093,16.328061507720932,-2.5702213903349067,11.429778609665092,1.328061507720932,31.328061507720932,10.0,20.0,-5.570221390334907,-3.671938492279068
DEN,3.949266614481017,14.46201062231853,-3.050733385518983,10.949266614481017,-0.5379893776814697,29.46201062231853,2.0,9.0,1.949266614481017,5.46201062231853
KOR,3.485766482236932,14.636904771794537,-3.514233517763068,10.485766482236933,-0.3630952282054629,29.636904771794537,13.0,32.0,-9.514233517763067,-17.363095228205463
SWE,3.4111445800828624,11.480421309956457,-3.5888554199171376,10.411144580082862,-3.5195786900435433,26.480421309956455,4.0,11.0,-0.5888554199171376,0.4804213099564567
RSA,3.28205375035449,7.588019946274366,-3.71794624964551,10.282053750354489,-7.411980053725634,22.588019946274365,1.0,6.0,2.28205375035449,1.5880199462743656
THA,3.2592490244645482,6.85800640120973,-3.7407509755354518,10.259249024464548,-8.14199359879027,21.858006401209728,1.0,6.0,2.2592490244645482,0.8580064012097299
JAM,2.681208842089364,6.728697643246817,-4.318791157910637,9.681208842089363,-8.271302356753182,21.728697643246818,1.0,6.0,1.6812088420893638,0.7286976432468171
AUT,2.6016867747137606,7.201481258498994,-4.398313225286239,9.60168677471376,-7.798518741501006,22.201481258498994,2.0,5.0,0.6016867747137606,2.201481258498994
PRK,2.5484679264831653,6.8102985786496735,-4.451532073516835,9.548467926483166,-8.189701421350327,21.81029857864967,0.0,6.0,2.5484679264831653,0.8102985786496735
ROU,2.3642626592892926,6.26314108319824,-4.635737340710707,9.364262659289292,-8.73685891680176,21.263141083198242,3.0,9.0,-0.6357373407107074,-2.7368589168017596
UZB,2.330764493287592,7.448529689652734,-4.669235506712408,9.330764493287592,-7.551470310347266,22.448529689652734,8.0,13.0,-5.669235506712408,-5.551470310347266
TUR,2.315224264550589,7.875152844353297,-4.684775735449411,9.31522426455059,-7.124847155646703,22.8751528443533,0.0,8.0,2.315224264550589,-0.12484715564670257
KEN,2.296117396549923,6.673749174434923,-4.703882603450078,9.296117396549922,-8.326250825565076,21.673749174434924,4.0,11.0,-1.7038826034500771,-4.326250825565077
GEO,2.2046868855847785,6.351598668842696,-4.7953131144152215,9.204686885584778,-8.648401331157304,21.351598668842698,3.0,7.0,-0.7953131144152215,-0.648401331157304
KAZ,2.184684459972675,7.384969124210905,-4.815315540027325,9.184684459972676,-7.615030875789095,22.384969124210905,1.0,7.0,1.184684459972675,0.38496912421090457
ETH,2.1049352108909867,7.110439238009094,-4.895064789109013,9.104935210890986,-7.889560761990906,22.110439238009093,1.0,4.0,1.1049352108909867,3.1104392380090937
IRI,2.067897613789838,6.859034927644458,-4.932102386210162,9.067897613789839,-8.140965072355542,21.85903492764446,3.0,12.0,-0.9321023862101621,-5.140965072355542
UKR,2.060320757573972,15.08759174423488,-4.939679242426028,9.060320757573972,0.0875917442348797,30.087591744234878,3.0,12.0,-0.9396792424260281,3.0875917442348797
SVK,2.03486315656623,4.563869083510385,-4.96513684343377,9.03486315656623,-10.436130916489615,19.563869083510383,0.0,1.0,2.03486315656623,3.563869083510385
CRO,2.0135985526438187,7.041465224398963,-4.986401447356181,9.013598552643819,-7.958534775601037,22.041465224398962,2.0,7.0,0.013598552643818707,0.04146522439896305
INA,2.0004339357870085,5.88794817874485,-4.999566064212992,9.000433935787008,-9.11205182125515,20.88794817874485,2.0,3.0,0.0004339357870084548,2.8879481787448498
LTU,1.9925196340579507,6.355310602831885,-5.007480365942049,8.99251963405795,-8.644689397168115,21.355310602831885,0.0,4.0,1.9925196340579507,2.355310602831885
COL,1.9719707718934134,7.0976422500494225,-5.028029228106586,8.971970771893414,-7.9023577499505775,22.09764225004942,0.0,4.0,1.9719707718934134,3.0976422500494225
BUL,1.9534039971457373,5.822817081979193,-5.046596002854263,8.953403997145738,-9.177182918020808,20.822817081979192,3.0,7.0,-1.0465960028542627,-1.177182918020807
SLO,1.9526751115917345,6.994127607069924,-5.047324888408266,8.952675111591734,-8.005872392930076,21.994127607069924,2.0,3.0,-0.04732488840826554,3.994127607069924
CUB,1.9057516718759442,6.072613320252526,-5.094248328124056,8.905751671875944,-8.927386679747475,21.072613320252525,2.0,9.0,-0.09424832812405581,-2.9273866797474737
CZE,1.8797295100121767,8.22697850624439,-5.120270489987823,8.879729510012176,-6.773021493755611,23.22697850624439,3.0,5.0,-1.1202704899878233,3.2269785062443894
POR,1.7470536715066083,6.655294590302774,-5.252946328493392,8.747053671506608,-8.344705409697227,21.655294590302773,1.0,4.0,0.7470536715066083,2.6552945903027743
EGY,1.7228907309905583,9.302260389718567,-5.277109269009442,8.722890730990558,-5.697739610281433,24.30226038971857,1.0,3.0,0.7228907309905583,6.302260389718567
GRE,1.7160927737991098,10.418802216190468,-5.28390722620089,8.71609277379911,-4.581197783809532,25.418802216190468,1.0,8.0,0.7160927737991098,2.4188022161904676
IRL,1.6606564046490533,7.447731372302195,-5.339343595350947,8.660656404649053,-7.552268627697805,22.447731372302194,4.0,7.0,-2.3393435953509467,0.4477313723021954
ARG,1.653245475076831,7.87183449506675,-5.346754524923169,8.653245475076831,-7.12816550493325,22.87183449506675,1.0,3.0,0.6532454750768311,4.87183449506675
MAR,1.5358905190906635,5.985184894573467,-5.464109480909336,8.535890519090664,-9.014815105426532,20.985184894573468,1.0,2.0,0.5358905190906635,3.985184894573467
TPE,1.485255771911558,7.223811633601584,-5.514744228088442,8.485255771911557,-7.776188366398416,22.223811633601585,2.0,7.0,-0.514744228088442,0.22381163360158407
TUN,1.3601648639087616,4.323466361115727,-5.639835136091238,8.36016486390876,-10.676533638884273,19.323466361115727,1.0,3.0,0.36016486390876157,1.3234663611157274
UGA,1.2856931809737515,2.876003673371504,-5.714306819026248,8.285693180973752,-12.123996326628497,17.876003673371503,1.0,2.0,0.2856931809737515,0.8760036733715042
IND,1.263938038197024,7.9682313141069,-5.736061961802976,8.263938038197024,-7.0317686858931,22.9682313141069,0.0,6.0,1.263938038197024,1.9682313141068999
SRB,1.1775998699698098,6.17408397179566,-5.82240013003019,8.17759986996981,-8.82591602820434,21.17408397179566,3.0,5.0,-1.8224001300301902,1.1740839717956604
MEX,1.1751723984628561,8.543361793239091,-5.824827601537144,8.175172398462855,-6.456638206760909,23.543361793239093,0.0,5.0,1.1751723984628561,3.5433617932390913
PUR,1.1638358097888257,3.6945808476077344,-5.836164190211174,8.163835809788825,-11.305419152392265,18.694580847607735,0.0,2.0,1.1638358097888257,1.6945808476077344
ISR,1.1618911241419634,5.750808073719772,-5.838108875858037,8.161891124141963,-9.24919192628023,20.75080807371977,1.0,7.0,0.16189112414196338,-1.2491919262802282
FIJ,1.0088138203098223,2.757830827751038,-5.991186179690178,8.008813820309822,-12.242169172248962,17.75783082775104,0.0,1.0,1.0088138203098223,1.7578308277510382
DOM,0.9805425805736566,4.692944172274155,-6.0194574194263435,7.9805425805736565,-10.307055827725845,19.692944172274153,1.0,3.0,-0.01945741942634338,1.6929441722741547
ALG,0.8938008058144075,3.377337133669324,-6.106199194185592,7.893800805814408,-11.622662866330677,18.377337133669325,2.0,3.0,-1.1061991941855926,0.37733713366932387
ECU,0.8816319632679046,3.213965934923597,-6.118368036732095,7.881631963267905,-11.786034065076404,18.213965934923596,1.0,5.0,-0.1183680367320954,-1.7860340650764028
HKG,0.8677635407250038,3.3838999691556344,-6.1322364592749965,7.8677635407250035,-11.616100030844365,18.383899969155635,2.0,4.0,-1.132236459274996,-0.6161000308443656
AZE,0.854199729261809,7.999271609472262,-6.145800270738191,7.854199729261809,-7.000728390527738,22.999271609472263,2.0,7.0,-1.145800270738191,0.9992716094722622
CHI,0.8229314049634284,3.631936327559762,-6.177068595036571,7.822931404963429,-11.368063672440238,18.631936327559764,1.0,2.0,-0.17706859503657157,1.631936327559762
QAT,0.6527671923186469,2.3837915260885163,-6.347232807681353,7.652767192318647,-12.616208473911485,17.383791526088515,0.0,1.0,0.6527671923186469,1.3837915260885163
ARM,0.6226800447494628,4.163739164184606,-6.377319955250537,7.622680044749463,-10.836260835815395,19.163739164184605,0.0,4.0,0.6226800447494628,0.163739164184606
JOR,0.6149372443089044,1.8019690033273514,-6.385062755691096,7.614937244308904,-13.19803099667265,16.80196900332735,0.0,1.0,0.6149372443089044,0.8019690033273514
BRN,0.6059421832183589,2.348617993883985,-6.3940578167816415,7.6059421832183585,-12.651382006116016,17.348617993883984,2.0,4.0,-1.394057816781641,-1.6513820061160152
PER,0.602272560187377,1.7503676252150318,-6.397727439812623,7.602272560187377,-13.249632374784968,16.75036762521503,0.0,1.0,0.602272560187377,0.7503676252150318
