Team,a_k,e_k,p_k,MedalWin_Prob2028
WIF,0,0,1,0.918713920386427
RHO,0,0,1,0.918713920386427
UNK,0,0,1,0.918713920386427
MAL,0,0,2,0.918713920386427
NBO,0,0,1,0.918713920386427
ROC,0,0,1,0.918713920386427
YMD,0,0,1,0.918713920386427
YAR,0,0,2,0.918713920386427
NFL,0,0,1,0.918713920386427
ROT,0,0,1,0.918713920386427
SAA,0,0,1,0.918713920386427
CRT,0,0,1,0.918713920386427
UAR,0,0,1,0.918713920386427
VNM,0,0,6,0.918713920386427
IOA,0,0,4,0.918713920386427
SOM,1,1,11,0.9125359795196295
BIZ,1,1,14,0.9125359795196295
LIE,1,1,19,0.9125359795196295
NRU,1,1,8,0.9125359795196295
TUV,2,2,5,0.9059365742081922
MYA,2,2,19,0.9059365742081922
COK,2,2,10,0.9059365742081922
MTN,2,2,11,0.9059365742081922
SOL,2,2,11,0.9059365742081922
ASA,2,2,10,0.9059365742081922
PLW,3,3,7,0.8988943955895454
CAM,3,3,11,0.8988943955895454
STP,3,3,8,0.8988943955895454
GEQ,3,3,11,0.8988943955895454
MAW,3,3,12,0.8988943955895454
CHA,3,3,14,0.8988943955895454
SWZ,3,3,12,0.8988943955895454
KIR,3,3,6,0.8988943955895454
LES,3,3,13,0.8988943955895454
FSM,3,3,7,0.8988943955895454
SKN,3,3,8,0.8988943955895454
BHU,3,3,11,0.8988943955895454
SEY,3,3,11,0.8988943955895454
BRU,3,3,7,0.8988943955895454
AND,2,4,13,0.8936900375674595
SLE,4,4,13,0.891388203329779
HON,4,4,13,0.891388203329779
MHL,4,4,5,0.891388203329779
YEM,4,4,9,0.891388203329779
VIN,4,4,10,0.891388203329779
CGO,4,4,14,0.891388203329779
BOL,4,4,16,0.891388203329779
OMA,4,4,11,0.891388203329779
LAO,4,4,11,0.891388203329779
TLS,4,4,6,0.891388203329779
IVB,4,4,11,0.891388203329779
CAF,4,4,12,0.891388203329779
MDV,5,4,10,0.8902209518637821
SSD,14,3,3,0.8862504012253742
COM,4,5,8,0.8846274358713289
CAY,4,5,12,0.8846274358713289
MLT,5,5,18,0.8833970308388606
BEN,5,5,13,0.8833970308388606
BAN,5,5,11,0.8833970308388606
ANT,5,5,12,0.8833970308388606
LBR,8,5,14,0.8796373022013311
BIH,5,6,9,0.8762079167113788
VAN,6,6,10,0.8749004184661847
GBS,6,6,8,0.8749004184661847
LBA,6,6,12,0.8749004184661847
MON,6,6,23,0.8749004184661847
COD,6,6,12,0.8749004184661847
NEP,7,6,15,0.8735811028393606
ARU,6,7,10,0.8672661600971289
PNG,7,7,12,0.8658786750193391
MAD,7,7,14,0.8658786750193391
NCA,7,7,14,0.8658786750193391
RWA,7,8,11,0.8577833545559893
GAM,7,8,11,0.8577833545559893
PLE,8,8,8,0.8563131672411708
MLI,24,6,15,0.8492844645949503
GUM,7,9,10,0.8492844645949503
ESA,8,9,14,0.8477420137011901
LBN,9,9,2,0.8461866360207932
GUI,25,7,13,0.8387558517611218
ANG,25,10,11,0.809227736160078
