Target,Alpha,Test_R2,Test_MAE,Test_RMSE,CV_R2,CV_MAE,CV_RMSE
Gold,0.1,0.8620137555149046,0.6549319131275674,1.8446336976861533,0.7371252126886375,0.9520896632283342,3.6746757924150395
Gold,0.2,0.9088492416368383,0.5450533606199336,1.4992442220835802,0.7798070302997241,0.8334519354101487,3.4004717704255536
Gold,0.3,0.9198206292899846,0.4622067580585061,1.4061238102744822,0.8223167150210576,0.7296332200093967,2.9930295188415825
Gold,0.4,0.9466479099598745,0.3845217067984077,1.1470119942614896,0.861534280540854,0.6380736465541759,2.6521003379639634
Gold,0.5,0.9781475454739883,0.2832997122936013,0.7340782443837538,0.8845297265618148,0.5868196789207544,2.475075217214305
Total,0.1,0.9416377649687897,1.1757380277893719,3.4387164325857875,0.7806669348717554,2.2362761141590184,8.143016496071874
Total,0.2,0.9634556740614216,0.9986421259978581,2.7210741980757565,0.7953441259656402,2.0042860209137237,7.818061792517254
Total,0.3,0.9802783379802151,0.7350446077631235,1.9989510637390686,0.8398950322032084,1.6723168421246892,7.0209730001013835
Total,0.4,0.9815571699508934,0.6943924959007993,1.9330549003280453,0.8821833390447518,1.5372283559563185,6.071225932229856
Total,0.5,0.9874637199451182,0.6102022428578161,1.59373000506296,0.9180243462725501,1.2987191068863888,5.1284103622457025
