Team,Year,Athletes,EventsParticipated,TotalMedals,Gold,Silver,Bronze
AUS,1896,5,5,2.0,2.0,0.0,0.0
AUT,1896,8,8,5.0,2.0,1.0,2.0
DEN,1896,15,12,6.0,1.0,2.0,3.0
FRA,1896,26,18,11.0,5.0,4.0,2.0
GBR,1896,25,19,7.0,2.0,3.0,2.0
GER,1896,94,27,13.0,6.0,5.0,2.0
GRE,1896,148,39,47.0,10.0,18.0,19.0
HUN,1896,18,14,6.0,2.0,1.0,3.0
ITA,1900,36,17,5.0,3.0,2.0,0.0
SUI,1896,8,5,3.0,1.0,2.0,0.0
SWE,1900,27,16,1.0,0.0,0.0,1.0
USA,1896,27,16,20.0,11.0,7.0,2.0
ARG,1924,109,39,6.0,1.0,3.0,2.0
BEL,1900,100,31,17.0,6.0,7.0,4.0
BOH,1900,9,9,2.0,0.0,1.0,1.0
BRA,1920,38,10,3.0,1.0,1.0,1.0
CAN,1900,7,5,2.0,1.0,0.0,1.0
COL,1972,75,39,3.0,0.0,1.0,2.0
CUB,1900,2,2,2.0,1.0,1.0,0.0
ESP,1900,12,7,1.0,1.0,0.0,0.0
HAI,1924,16,9,1.0,0.0,0.0,1.0
IND,1900,5,5,2.0,0.0,2.0,0.0
IRI,1948,39,23,1.0,0.0,0.0,1.0
LUX,1900,1,1,1.0,1.0,0.0,0.0
MEX,1932,100,52,2.0,0.0,2.0,0.0
NED,1900,73,18,5.0,0.0,2.0,3.0
NOR,1900,29,9,5.0,0.0,2.0,3.0
NZL,1920,6,6,1.0,0.0,0.0,1.0
PER,1948,49,26,1.0,1.0,0.0,0.0
ROU,1924,45,7,1.0,0.0,0.0,1.0
RSA,1908,33,15,2.0,1.0,1.0,0.0
EGY,1928,43,14,4.0,2.0,1.0,1.0
FIN,1908,94,23,5.0,1.0,1.0,3.0
TUR,1936,62,26,2.0,1.0,0.0,1.0
ANZ,1908,48,20,5.0,1.0,2.0,2.0
ISL,1956,2,2,1.0,0.0,1.0,0.0
CHI,1928,46,22,1.0,0.0,1.0,0.0
JPN,1920,26,15,2.0,0.0,2.0,0.0
POL,1924,100,38,2.0,0.0,1.0,1.0
POR,1924,47,16,1.0,0.0,0.0,1.0
SRB,2008,97,42,3.0,0.0,1.0,2.0
EST,1920,20,19,3.0,1.0,2.0,0.0
TCH,1920,182,53,2.0,0.0,0.0,2.0
