Model,k,Mean_R2,Std_R2,Min_R2,Max_R2,CV_Stability,Range_R2
Cumulative_Gold,3,0.6373844587787666,0.06582014573337713,0.549217288295055,0.7073205083754303,0.10326600347220424,0.15810322008037525
Cumulative_Gold,5,0.5876395394367094,0.15914792433375005,0.2788120283609158,0.7224665618288234,0.27082575908064943,0.4436545334679076
Cumulative_Gold,7,0.6118983650333508,0.14443459438954442,0.2878242871705786,0.7465478116615996,0.2360434389813612,0.45872352449102094
Cumulative_Gold,10,0.6328494245084196,0.17879724545161801,0.15944626680937368,0.8210023751153485,0.2825273098581118,0.6615561083059748
Cumulative_Gold,15,0.6295179404026157,0.19758586314209586,-0.05259340104717247,0.7876263632223152,0.31386851821209016,0.8402197642694876
Cumulative_Gold,20,0.643054459044665,0.194663904686013,-0.07292396026785242,0.8726806759820868,0.30271760338185,0.9456046362499392
EMA_Gold,3,0.7905062837751943,0.16809081345556043,0.5551386664145812,0.9370578231546577,0.21263690992159454,0.3819191567400765
EMA_Gold,5,0.8331557156167104,0.10735669313804294,0.6496076183613915,0.9512106660985706,0.1288554961884603,0.30160304773717916
EMA_Gold,7,0.8110701279254126,0.18369424163463302,0.39194537340473845,0.949897736102368,0.22648379629575738,0.5579523626976296
EMA_Gold,10,0.8265997762379191,0.17709334355464784,0.3302117312099784,0.9643962098069471,0.2142431544811782,0.6341844785969687
EMA_Gold,15,0.8367273665904958,0.1901465364150737,0.1786687060254113,0.9703366033908122,0.22725028964916555,0.7916678973654009
EMA_Gold,20,0.847376413759525,0.19351676066520793,0.06709940624495936,0.9736082609367271,0.22837166284418864,0.9065088546917678
Cumulative_Total,3,0.7465066044316173,0.07488450576250029,0.6431602712328945,0.8182093832520089,0.10031325284726263,0.17504911201911433
Cumulative_Total,5,0.684765721238958,0.16771156898873268,0.40295359994014757,0.8638835416521264,0.2449181724302574,0.4609299417119789
Cumulative_Total,7,0.6845308956564127,0.21045310298245842,0.21308283654210236,0.8732325980160636,0.3074413504457677,0.6601497614739612
Cumulative_Total,10,0.7132953711791193,0.18816340529192413,0.2237131741763233,0.905384235020677,0.26379451331764414,0.6816710608443537
Cumulative_Total,15,0.6970253929655202,0.2611790157431072,-0.20204384454529767,0.8915667023586553,0.3747051662377915,1.093610546903953
Cumulative_Total,20,0.72599303452198,0.24039427816064976,-0.22619367300881565,0.9257707288754435,0.33112477218040254,1.1519644018842592
EMA_Total,3,0.8490124497305329,0.13318314160237854,0.6607574918672316,0.9483049011242421,0.15686830227831097,0.2875474092570105
EMA_Total,5,0.8518677690698888,0.12735667110134577,0.6837895477745821,0.9628100583940932,0.14950286385456285,0.27902051061951105
EMA_Total,7,0.8471179782437596,0.16706847147960627,0.48972095602299637,0.9640227855711341,0.1972198392318054,0.4743018295481377
EMA_Total,10,0.8540929992044944,0.175145093792486,0.3982669647332644,0.9733529925419204,0.2050656005325144,0.575086027808656
EMA_Total,15,0.8698324921006313,0.19200157297781875,0.19394279160648176,0.9766842645215755,0.22073396282787514,0.7827414729150938
EMA_Total,20,0.8807089619909464,0.19236034687336726,0.09667899364224486,0.9795467594526512,0.21841533943121688,0.8828677658104064
